CDS,length,EarL1,EarL2,EarL3,LateL1,LateL2,LateL3,Male1,Male2,Male3,NPF1,NPF2,NPF3,PreL1,PreL2,PreL3
Dp-100459,357,922,263,1607,678,1566,2448,1620,1919,1681,397,1316,2276,3311,309,756
Dp-100467,2394,1438,807,1706,766,1365,1811,1901,1980,1862,503,1405,1772,2180,440,872
Dp-100473,2379,3560,1265,6685,4066,43504,9075,8220,9454,3962,287,5830,6523,35347,898,3163
Dp-100477,207,93,10,89,25,129,143,49,142,106,11,43,117,114,5,32
Dp-100490,357,2932,711,3305,1119,3183,4713,3499,2344,1955,952,2754,4676,2813,792,2431
Dp-100493,345,118,54,215,121,188,281,203,238,205,80,184,397,855,72,158
Dp-100497,444,21,6,31,15,33,32,37,48,42,32,35,46,37,10,19
Dp-100505,756,38,5,102,24,117,305,109,215,231,185,92,85,258,15,68
Dp-100511,1125,16084,827,12242,3846,28492,13191,24651,34992,32645,1606,8292,16029,23572,5330,7806
Dp-100537,2475,75,28,47,25,98,121,80,45,29,39,79,72,59,21,40
Dp-100540,1299,94,3,110,13,55,137,95,161,168,103,192,155,190,32,81
Dp-100544,1035,1166,326,1658,567,1465,1859,1639,1444,1441,511,1093,1996,1685,276,916
Dp-100545,2700,1761,1815,3473,2814,1907,2062,3117,3085,2349,1548,1361,2983,4243,852,1121
Dp-100546,231,18,3,34,25,47,33,25,49,46,4,20,36,71,3,13
Dp-100556,1203,986,628,1500,2122,2821,1833,1289,1582,1298,663,866,1354,4807,267,586
Dp-100564,474,3741,367,794,484,1350,961,1113,1706,1061,94,594,253,532,360,680
Dp-100577,312,5774,2199,7208,3315,7156,7929,6318,2601,1863,2681,6206,8521,4088,1644,4412
Dp-100602,1059,207,10,294,52,123,347,361,662,688,26,165,184,457,87,188
Dp-100609,2511,1020,518,1421,884,1655,1923,1582,1571,1616,798,1456,2720,2622,307,851
Dp-100612,915,1968,185,546,265,800,1006,1419,1432,2865,88,368,760,1462,996,1460
Dp-100621,204,42,35,123,57,193,214,289,148,118,20,207,86,265,6,46
Dp-100643,729,783,179,575,569,1013,1070,1322,1666,1589,187,988,759,1642,298,658
Dp-10065,2868,1117,317,1241,779,1224,1599,1387,2224,1406,160,865,1461,2825,263,712
Dp-100650,1503,76,8,137,38,132,221,136,237,215,40,138,189,256,14,62
Dp-100655,1158,596,228,320,407,479,455,513,491,429,116,470,580,634,160,333
Dp-100657,2202,493,211,2079,1029,1982,1634,1253,2589,1801,418,818,1489,4972,115,881
Dp-100658,1296,0,1,2,1,0,7,41,2,295,55,359,165,40,12,11
Dp-10066,339,11,1,12,1,10,8,9,0,0,1,9,11,5,1,7
Dp-100661,1179,396,134,405,243,472,404,461,494,448,125,366,459,810,116,251
Dp-100680,168,254,178,415,423,376,443,769,593,533,205,378,632,936,168,266
Dp-10070,5295,88,19,408,53,371,615,254,359,766,249,383,495,601,39,171
Dp-100708,1626,10,2,39,10,124,82,14,22,14,7,21,278,38,10,14
Dp-100714,2670,3934,1801,3049,1655,3197,4227,4567,4212,3527,1423,3007,4661,5354,1052,2350
Dp-100727,1620,1306,65,840,260,1177,1160,1956,2532,2361,225,777,1294,1124,398,642
Dp-100728,1422,222,17,229,47,322,319,461,638,628,54,230,330,375,70,150
Dp-10073,906,27,13,46,20,33,44,53,60,74,28,32,54,119,1,38
Dp-100732,723,637,645,758,539,914,1084,1066,1389,674,71,611,812,1699,207,864
Dp-100736,3054,1223,194,2209,1008,1980,2924,2518,4145,3298,826,2128,2798,5277,393,994
Dp-100739,330,1461,2945,1799,2119,1772,2127,1219,1340,2218,716,1633,2147,4739,1202,1879
Dp-100743,231,246,93,196,79,182,190,180,131,121,134,287,356,136,71,116
Dp-10076,390,178,57,285,212,361,350,245,337,360,135,265,322,695,84,270
Dp-100764,231,205,60,316,135,336,340,304,435,376,80,285,354,609,61,135
Dp-100765,2571,274,87,536,230,561,561,562,814,885,204,444,556,1169,79,330
Dp-10077,1431,27,16,136,44,129,210,149,239,184,37,74,108,283,11,55
Dp-100771,393,3366,2419,3321,4394,4714,5091,3759,5124,4334,1386,2828,3570,7185,1078,2534
Dp-100779,309,63,4,215,28,93,183,235,238,328,7,81,164,251,8,64
Dp-10078,1872,130,10,203,82,204,239,222,387,337,78,210,230,473,35,95
Dp-100783,777,137,47,102,37,191,415,96,112,338,19,160,193,488,84,223
Dp-100784,507,988,525,1039,597,1082,1498,1022,1210,1014,531,1779,1582,1655,275,816
Dp-100786,1203,832,79,385,193,568,524,1493,2017,1603,156,822,702,596,311,450
Dp-100788,1440,1132,457,561,461,648,1077,814,1115,1242,256,622,758,983,298,991
Dp-10079,1335,321,40,95,49,223,242,318,333,379,122,324,261,253,98,130
Dp-100795,1083,427,159,925,731,1283,869,1238,1409,1571,438,1203,2690,2872,209,481
Dp-100797,957,3854,1487,5194,3676,5501,4724,4926,5838,5498,595,3044,3909,12946,1547,2439
Dp-1008,153,47,23,30,16,22,19,48,38,62,3,29,41,61,11,31
Dp-100802,633,913,75,283,192,746,550,757,1027,1074,124,504,844,507,363,470
Dp-100818,693,256,190,225,264,309,268,291,278,228,87,217,288,560,109,196
Dp-100857,4830,3198,25247,10408,96975,5496,2952,4908,33530,16060,10826,2922,4970,27868,3118,905
Dp-10086,1722,119,17,99,34,159,171,142,152,192,36,128,184,162,25,55
Dp-100866,1377,1911,286,1082,547,971,1507,1907,2108,2344,270,672,1248,2087,573,1560
Dp-100867,1800,1245,202,926,576,882,1248,1351,1773,1955,458,718,1239,1814,398,1148
Dp-100874,315,893,503,1606,1217,1430,1708,3263,2498,2228,750,1348,2309,3854,496,1031
Dp-100881,1524,2320,308,2812,1241,2656,3357,2478,3194,3464,116,1070,2350,3365,492,2089
Dp-100882,1524,195,73,493,507,517,431,182,361,377,308,356,752,1118,85,227
Dp-100890,2355,250,26,501,83,489,773,440,630,693,212,420,478,733,58,251
Dp-100899,1536,571,134,599,419,623,644,1023,1277,1061,211,862,858,1172,225,380
Dp-10090,1341,321,90,166,182,303,286,420,585,466,65,229,284,543,83,154
Dp-100905,1149,219,3,402,33,134,650,137,346,354,1,111,217,607,37,275
Dp-100910,345,35,1,83,19,59,113,105,158,151,26,75,93,169,13,25
Dp-100915,261,1834,2788,3167,1768,1785,2187,3005,3018,2385,236,5092,6714,1449,975,5153
Dp-100916,369,6752,20967,10719,10739,6111,6718,12277,10564,10228,4710,14821,23261,7683,6543,13555
Dp-10092,1170,732,181,440,195,455,731,806,1004,973,115,169,270,639,331,721
Dp-100922,1095,4029,1348,13863,6159,10263,16521,9956,15645,18991,5875,8057,12601,37147,1990,8481
Dp-100923,1011,35,3,117,24,139,282,48,118,100,69,88,121,360,9,17
Dp-100927,171,565,1124,766,749,480,634,817,771,642,370,1269,2135,349,388,1045
Dp-100932,954,236,11,331,87,301,517,478,761,664,17,246,335,830,49,168
Dp-100937,759,50,7,96,48,111,150,86,143,106,14,75,118,265,8,59
Dp-100948,480,31392,37209,66845,60201,50107,56520,56307,51598,78523,53819,75290,92423,166523,17028,38759
Dp-100949,447,26788,32333,60295,54940,45072,50959,48328,45854,69869,53076,67352,81926,149092,14692,34006
Dp-100955,1071,1990,479,12150,1932,4173,1613,23070,29734,12972,321,691,49,2413,241,105
Dp-100959,1284,146,4,298,38,454,289,274,295,213,65,338,317,466,29,115
Dp-10096,909,55,17,81,18,76,100,77,99,60,32,77,80,130,10,35
Dp-100986,915,251,89,432,355,582,989,433,466,478,351,1237,970,1597,50,523
Dp-100991,198,27,5,26,19,31,35,34,46,31,20,27,33,43,12,17
Dp-100994,1467,7,0,18,2,198,35,71,193,65,7530,1764,248,96,2,8
Dp-100997,2472,42,23,41,22,66,508,57,70,66,2,33,10,95,17,99
Dp-101002,279,6,0,9,4,4,11,5,7,10,13,7,12,11,0,2
Dp-10101,171,580,206,777,343,786,974,548,259,176,393,865,1158,299,166,493
Dp-101024,1197,95,10,137,40,160,326,214,327,319,300,312,330,319,20,79
Dp-101028,243,1567,349,1554,653,1527,2218,2050,1565,1158,497,1369,2213,1481,517,1112
Dp-101034,726,206,118,176,132,198,160,213,218,226,26,129,211,333,56,99
Dp-101041,2859,434,171,922,402,947,1643,1404,2028,1466,491,627,1172,2805,110,400
Dp-101043,219,174,118,232,226,302,317,280,452,538,198,211,316,880,94,136
Dp-101047,1440,43,2,148,32,128,199,97,172,130,30,99,162,260,11,55
Dp-10105,3210,280,75,1292,730,1488,1555,1240,1764,1372,886,1174,1663,4050,41,418
Dp-101050,525,304060,32781,31427,351527,546633,517425,12,15,11,53,77,219,5956,39,28
Dp-101065,1503,39233,16412,29320,23693,26371,30612,25230,30418,26324,519,4061,18488,26511,9991,36006
Dp-101078,2142,39362,10551,42907,31037,60299,47627,44478,59564,47882,29982,40416,58098,106412,11086,25847
Dp-101080,933,170,126,201,110,219,211,228,318,348,55,262,347,340,63,162
Dp-10109,975,163,87,87,94,154,126,186,172,163,36,130,131,193,37,109
Dp-101094,411,348,90,552,309,566,420,587,707,606,176,389,524,1023,118,220
Dp-101095,756,288,86,487,267,472,434,456,539,516,144,320,480,1010,90,192
Dp-1011,456,3873,3918,2811,4750,3667,4283,3457,3755,4304,1107,3089,3663,6185,1721,3324
Dp-101100,657,2033,435,867,872,1051,1023,1265,2089,2006,210,637,1173,1350,1232,823
Dp-101101,894,131,39,357,112,554,302,421,513,434,46,166,370,710,77,115
Dp-101102,381,3,2,19,2,16,34,17,21,31,40,54,14,43,4,9
Dp-10111,2460,140,5,141,41,186,280,131,160,237,62,150,176,268,22,118
Dp-101126,672,1352,725,1497,702,2027,1979,908,2035,1708,22,408,1115,1573,305,1561
Dp-101128,657,135,16,515,172,455,554,258,453,360,229,348,435,1120,22,152
Dp-101145,1284,117,61,178,161,208,241,281,364,313,85,188,286,465,56,91
Dp-101152,228,828,317,1004,493,973,1244,825,548,412,345,814,1170,749,245,572
Dp-101153,1143,2528,239,1437,373,963,1773,1948,2034,5423,131,967,2815,2325,2142,2959
Dp-101156,1149,1134,90,438,157,356,480,883,919,1563,69,413,789,576,794,936
Dp-101157,1140,93,17,223,62,205,233,224,392,335,68,195,226,518,24,95
Dp-101159,789,21,1,44,6,46,192,55,63,255,462,416,185,254,14,69
Dp-101182,2058,228,43,328,136,442,308,387,528,420,147,292,383,633,65,221
Dp-101187,780,71,19,96,76,94,97,95,178,157,45,104,121,223,15,62
Dp-101188,1554,136,99,240,161,195,267,193,359,287,40,152,246,379,30,125
Dp-101191,315,228,34,299,110,321,350,194,417,344,82,324,441,504,40,220
Dp-101194,999,55,1230,192,311,149,209,160,160,258,340,134,79,440,443,150
Dp-101203,495,20,6,23,12,30,38,43,68,49,15,32,38,88,8,18
Dp-101215,855,27,3,26,3,19,33,59,4,135,40,203,255,112,24,92
Dp-101216,276,91,47,202,136,178,251,553,532,660,80,198,236,366,58,104
Dp-10122,1140,171,30,102,76,102,119,399,482,380,50,138,126,171,65,105
Dp-101220,789,54,31,119,77,185,211,192,240,383,137,245,234,368,34,123
Dp-101248,159,444,157,164,66,203,204,174,55,82,18,120,152,71,192,296
Dp-101264,1215,16,2,35,14,41,104,27,42,57,23,44,60,92,6,18
Dp-101266,1233,41,23,249,62,224,399,179,235,256,104,208,260,469,13,108
Dp-101293,330,69,34,137,137,190,325,164,282,214,78,218,273,514,29,163
Dp-101296,186,1290,3672,2093,2939,2106,2302,1901,1577,2801,1082,2273,2452,6272,1949,2107
Dp-101302,4101,629,92,418,136,350,452,849,818,942,123,385,437,581,208,415
Dp-101305,1170,54,6,154,22,148,277,97,224,187,52,115,182,360,2,49
Dp-101307,2085,41,5,79,26,75,101,124,202,148,22,63,109,183,4,42
Dp-101316,1437,281,318,331,144,407,587,399,551,578,183,313,437,609,135,178
Dp-101319,267,754,230,974,382,1043,1205,1019,1057,754,70,802,1217,1340,138,549
Dp-10132,1296,158,174,298,274,237,164,341,430,314,52,141,247,591,41,171
Dp-101330,2697,2124,637,2400,1037,2585,3049,2397,1825,1323,1115,1969,2892,2768,421,1495
Dp-101340,837,84,62,46,74,97,74,100,65,51,30,84,102,96,21,64
Dp-101343,1674,1146,1738,1942,830,1601,2110,1511,1632,1558,704,1312,1871,2365,580,1178
Dp-101350,2679,131,0,295,61,236,417,313,481,464,58,281,395,480,22,132
Dp-101359,9840,583,345,4898,1364,4380,10699,2411,4399,4126,2691,2564,4278,13666,227,1058
Dp-101367,990,90,18,187,58,177,221,109,214,249,52,182,222,383,8,121
Dp-101377,927,698,54,695,344,1146,874,977,893,1077,91,676,1200,910,266,664
Dp-10138,375,358,501,525,487,526,491,421,355,599,252,446,484,1117,227,472
Dp-101388,2466,401,169,725,466,871,711,797,1029,1020,241,670,748,1516,164,499
Dp-101389,678,175,86,160,123,188,205,196,254,215,50,229,251,357,46,116
Dp-101397,5829,212,259,933,528,592,710,969,1092,912,286,539,779,1869,104,337
Dp-101409,393,1412,462,1068,880,1816,1578,1972,1977,1738,1053,2057,1943,2488,515,1234
Dp-101417,1263,1612,913,5325,2854,4725,6089,3800,5711,7954,1842,2644,4961,12652,500,3293
Dp-101423,1191,82,4,121,37,102,116,137,177,164,86,164,143,214,15,86
Dp-101430,1290,227,23,217,55,103,245,349,249,218,85,256,146,146,150,110
Dp-101431,501,72,36,492,123,313,1522,238,234,712,38,800,966,1118,22,768
Dp-101435,648,506,194,546,224,482,644,657,968,927,194,561,662,843,144,335
Dp-10144,3318,190,71,464,242,454,585,519,819,627,171,379,574,1074,69,198
Dp-101447,165,5,0,9,4,7,11,10,12,1,3,4,5,1,5,7
Dp-101468,858,32,21,122,39,114,173,79,113,167,60,78,68,272,11,93
Dp-101484,255,287,316,380,322,443,487,304,324,514,263,474,509,1005,251,413
Dp-101492,1410,482,29,2257,219,1225,3198,1355,1922,3299,409,891,2870,3974,115,1022
Dp-101499,930,383,20,479,65,229,462,342,642,915,35,229,313,519,121,425
Dp-101506,252,302,249,351,278,410,420,533,313,236,320,264,487,274,171,184
Dp-10153,1203,94,10,63,32,85,108,84,24,33,32,58,87,52,12,27
Dp-101535,2199,656532,124743,585600,26509,183840,506804,14088,20637,8993,8795,18146,6516,186663,83750,688540
Dp-101549,837,143,19,159,56,127,213,114,183,210,10,114,171,288,37,138
Dp-101553,1209,170,85,498,272,330,415,407,523,570,184,505,550,967,82,234
Dp-101568,300,86,8,107,35,137,175,106,135,191,62,130,160,178,35,83
Dp-101572,351,940,590,788,727,949,1383,668,683,985,394,1207,1206,1728,273,1217
Dp-101584,420,274,93,479,258,453,627,412,577,580,192,343,456,703,89,240
Dp-101606,828,1023,396,1337,635,1461,1626,1512,1262,1008,981,1626,1777,1883,306,735
Dp-101611,1464,142,7,309,28,242,439,369,498,705,167,296,328,445,40,117
Dp-101613,1191,243,19,206,111,309,397,434,524,626,173,399,340,339,125,188
Dp-10164,1230,584,316,479,451,626,521,680,783,739,162,514,663,1210,185,435
Dp-10165,4008,1305,309,1293,313,751,1132,1109,1655,1893,208,811,805,1818,307,965
Dp-101658,237,23,15,47,17,35,88,36,46,58,13,20,32,59,9,22
Dp-10166,1755,229,89,544,262,303,474,493,740,484,92,314,458,1042,68,203
Dp-101674,387,110,84,191,91,292,259,165,193,242,36,235,364,371,47,243
Dp-10168,378,30,0,79,9,59,87,38,107,87,11,54,84,146,7,39
Dp-101680,183,2056,3202,1686,1588,2101,3585,387,470,766,1199,1932,3256,3398,1512,2950
Dp-101685,396,14,1,31,11,46,45,38,67,48,13,28,49,91,4,18
Dp-101686,636,47,5,29,10,72,45,45,63,70,28,91,48,42,10,31
Dp-101691,1530,313,38,1019,183,578,1061,653,1030,1336,143,543,978,1712,68,562
Dp-101694,1422,53,19,91,35,107,129,150,200,194,89,166,177,247,16,66
Dp-10170,1050,755,330,495,556,682,779,653,744,691,261,732,727,1098,230,515
Dp-101700,510,273,17,131,39,116,204,326,540,480,24,63,176,125,89,152
Dp-101710,168,727,19195,375,4755,406,451,15236,2842,1531,6,477,485,1656,2243,733
Dp-10172,1950,54,38,63,61,116,92,68,118,125,120,151,205,193,24,49
Dp-101721,915,34,3,56,29,58,39,64,95,87,27,60,58,120,7,25
Dp-101745,159,148,190,145,164,146,138,261,166,261,68,161,169,313,146,216
Dp-101746,606,377,71,497,263,661,724,685,837,841,319,650,748,975,95,295
Dp-10175,1479,56,33,53,82,80,166,95,114,99,410,385,267,206,28,57
Dp-101760,570,92,21,30,39,105,103,77,91,74,15,95,115,69,18,50
Dp-101761,1107,19,5,16,7,17,26,29,26,34,11,34,14,32,2,8
Dp-101762,3327,454,42,622,155,527,812,655,1117,905,240,607,816,881,100,339
Dp-101766,687,365,84,149,87,225,212,462,467,474,45,253,233,284,78,149
Dp-101767,1047,567,156,1193,585,942,1330,1017,1415,1301,467,886,1345,2017,177,553
Dp-101769,4212,1870,758,2581,1299,2329,2871,2850,3291,3062,1637,2653,3425,4527,506,1258
Dp-101779,3099,1068,194,4659,890,3658,6197,3503,5370,6087,1927,2888,3970,9885,244,1833
Dp-10178,840,330,74,306,134,355,382,421,472,563,124,276,388,593,114,301
Dp-101792,1611,2499,2763,3400,3344,1722,1558,4427,3113,2360,1873,1169,2974,3682,1245,1309
Dp-101799,315,761,10523,750,3584,1677,935,817,1852,1474,679,625,1123,3327,2874,611
Dp-10180,2490,241,112,273,207,415,324,455,526,436,300,354,457,534,74,258
Dp-101804,492,17,0,22,2,24,31,11,18,11,8,17,12,51,1,4
Dp-101817,657,103,18,112,62,176,189,133,146,142,54,134,180,236,25,116
Dp-101820,870,720,135,472,299,674,578,696,707,772,142,459,515,662,196,468
Dp-101821,972,726,122,306,289,378,348,753,659,851,101,383,424,593,195,367
Dp-101829,744,106,49,92,73,106,116,94,110,128,24,62,106,185,38,85
Dp-101830,1287,52,12,65,15,54,60,55,52,41,22,43,58,58,8,25
Dp-101850,2871,83,18,400,51,264,477,257,502,461,154,254,358,726,32,141
Dp-101852,2844,442,70,364,201,564,593,486,418,404,246,526,590,761,94,308
Dp-101855,621,447,28,437,85,439,579,773,908,852,11,255,262,753,104,293
Dp-101860,897,12,1,58,11,37,51,24,30,21,12,31,36,85,3,9
Dp-101863,279,61,17,99,38,59,114,100,82,36,20,56,106,69,20,64
Dp-101875,1293,85,18,129,62,176,390,140,75,131,74,83,218,353,7,87
Dp-101883,1392,331,28,729,164,585,857,633,885,815,260,582,795,1271,78,278
Dp-101885,525,289,105,2130,840,1508,2076,995,1761,1635,693,1234,1875,4739,103,669
Dp-101905,237,3,2,19,5,18,34,21,24,27,7,19,18,25,1,4
Dp-101911,729,630,68,225,115,223,302,320,493,660,35,204,129,351,283,547
Dp-10193,615,9,4,7,10,18,23,15,12,21,9,27,20,38,11,8
Dp-101933,858,398,70,225,139,177,227,199,197,298,2757,1418,390,264,50,96
Dp-101943,180,14,8,34,13,28,30,36,25,27,1,17,34,70,4,7
Dp-101945,1107,435,12,308,86,388,463,644,911,811,86,260,527,482,108,215
Dp-101961,762,36,38,119,37,92,177,110,127,119,77,144,123,239,11,60
Dp-101990,348,42,1,5,5,16,32,24,53,14,1,5,18,7,34,40
Dp-101995,630,1504,906,1253,971,1430,1511,1473,1513,1220,712,1313,2086,1933,537,818
Dp-102,729,13,1,9,2,20,7,61,75,37,1,2,2,2,1,2
Dp-102004,465,5,11,26,15,13,134,82,46,67,7,35,111,52,4,28
Dp-102009,1053,159,310,1239,343,576,653,776,945,898,441,702,1333,2911,85,1000
Dp-102016,483,23,8,41,32,45,35,54,90,95,15,42,57,112,9,49
Dp-102029,651,27,11,35,28,65,74,56,54,79,22,70,58,115,10,34
Dp-102031,792,29720,15110,17294,8582,9194,16130,9105,16092,17867,1703,6462,9980,29401,13769,41630
Dp-102041,1116,149,18,405,82,367,380,389,476,558,255,189,387,555,85,201
Dp-102062,1053,213,30,268,123,309,520,262,514,281,57,233,440,644,36,176
Dp-10207,186,21,6,23,17,44,30,18,16,6,5,22,43,21,7,17
Dp-102077,1119,1553,1435,4367,2252,3795,6380,1697,2473,3509,2114,3111,4547,11311,871,2996
Dp-10208,417,251,291,369,286,441,416,388,421,437,217,304,352,542,159,368
Dp-102089,1308,361,115,364,259,399,393,507,686,478,118,294,424,714,65,243
Dp-102095,528,4706,3289,5826,4839,5707,6141,3969,4967,7440,2878,5424,7423,15168,2703,5967
Dp-102096,525,51,6,58,14,159,91,72,81,25,1,33,76,114,6,41
Dp-102097,1215,485,69,408,302,648,597,657,467,375,230,622,684,843,122,321
Dp-102098,1089,389,97,816,394,661,919,671,1195,962,239,476,656,1262,117,334
Dp-102105,7224,1160,141,2293,641,2334,3117,2474,3694,3563,984,1854,2479,4037,272,1017
Dp-102108,177,85,33,130,79,159,196,96,27,18,177,158,212,53,18,83
Dp-102109,2028,795,881,1651,1489,1149,2100,2022,1985,1502,1215,810,1593,2335,493,589
Dp-10211,1263,839,331,843,610,941,869,1330,1381,1366,329,926,1254,1849,339,595
Dp-102118,648,51,15,49,29,54,57,94,109,69,16,71,51,104,12,38
Dp-10212,1707,248,76,417,324,383,400,589,795,622,330,464,606,1132,77,220
Dp-102122,1122,109,29,227,103,180,368,250,321,265,140,238,253,438,53,107
Dp-102123,687,83,14,162,65,127,259,167,219,159,83,158,163,260,29,53
Dp-102138,3135,248,53,333,116,213,196,454,577,475,25,265,320,463,91,192
Dp-102151,1854,869,182,1214,527,787,3301,7051,2546,1485,1084,1133,437,6127,139,1273
Dp-102152,1335,91,52,474,136,456,1013,128,207,220,424,358,397,1201,49,245
Dp-102170,513,341103,35434,35575,330847,537947,509500,10,11,9,35,73,245,6403,37,29
Dp-102185,360,2739,1015,3616,1688,3796,4454,3816,1924,1601,1619,3055,4372,2699,834,2139
Dp-102188,219,118,50,179,97,181,212,215,247,204,88,163,214,296,54,99
